"sub_region_2","date","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential","date_of_interest"
"Richmond County",2020-11-05,-19,-5,0,-35,-32,12,2020-11-05
"Richmond County",2020-11-06,-22,-5,-3,-37,-32,12,2020-11-06
"Richmond County",2020-11-07,-22,0,35,-27,-6,4,2020-11-07
"Richmond County",2020-11-08,-19,-7,58,-22,-7,3,2020-11-08
"Richmond County",2020-11-09,-20,-5,2,-39,-34,12,2020-11-09
"Richmond County",2020-11-10,-18,-3,2,-36,-35,12,2020-11-10
"Richmond County",2020-11-11,-20,-7,-29,-48,-44,17,2020-11-11
"Richmond County",2020-11-12,-28,-11,-39,-42,-34,15,2020-11-12
"Richmond County",2020-11-13,-28,-4,-36,-43,-35,15,2020-11-13
"Richmond County",2020-11-14,-26,0,0,-30,-6,5,2020-11-14
"Richmond County",2020-11-15,-27,-7,-11,-33,-9,6,2020-11-15
"Richmond County",2020-11-16,-24,-7,-23,-40,-36,13,2020-11-16
"Richmond County",2020-11-17,-23,-6,-29,-43,-36,14,2020-11-17
"Richmond County",2020-11-18,-24,-8,-31,-45,-35,14,2020-11-18
"Richmond County",2020-11-19,-23,-7,-25,-42,-35,14,2020-11-19
"Richmond County",2020-11-20,-25,-3,-11,-42,-36,14,2020-11-20
"Richmond County",2020-11-21,-25,-1,11,-32,-8,6,2020-11-21
"Richmond County",2020-11-22,-26,-4,-17,-34,-8,6,2020-11-22
"Richmond County",2020-11-23,-21,-1,-30,-45,-39,14,2020-11-23
"Richmond County",2020-11-24,-14,7,-24,-42,-38,13,2020-11-24
"Richmond County",2020-11-25,-8,25,-20,-43,-39,13,2020-11-25
"Richmond County",2020-11-26,-62,-28,-43,-66,-75,24,2020-11-26
"Richmond County",2020-11-27,-30,-18,-18,-50,-55,20,2020-11-27
"Richmond County",2020-11-28,-33,-12,-7,-34,-14,8,2020-11-28
"Richmond County",2020-11-29,-27,-12,4,-31,-11,6,2020-11-29
"Richmond County",2020-11-30,-36,-23,-46,-48,-42,17,2020-11-30
"Richmond County",2020-12-01,-22,-4,-29,-43,-40,14,2020-12-01
"Richmond County",2020-12-02,-25,-7,-34,-46,-37,15,2020-12-02
"Richmond County",2020-12-03,-23,-4,-23,-40,-36,15,2020-12-03
"Richmond County",2020-12-04,-32,-9,-41,-44,-38,16,2020-12-04
"Richmond County",2020-12-05,-35,-9,-43,-43,-14,9,2020-12-05
"Richmond County",2020-12-06,-26,-8,-20,-34,-10,6,2020-12-06
"Richmond County",2020-12-07,-25,-9,-31,-44,-39,14,2020-12-07
"Richmond County",2020-12-08,-25,-10,-38,-46,-38,15,2020-12-08
"Richmond County",2020-12-09,-27,-10,-40,-48,-37,16,2020-12-09
"Richmond County",2020-12-10,-23,-4,-23,-43,-35,14,2020-12-10
"Richmond County",2020-12-11,-26,-4,-25,-43,-36,15,2020-12-11
"Richmond County",2020-12-12,-30,-3,-23,-35,-11,7,2020-12-12
"Richmond County",2020-12-13,-22,-6,13,-31,-10,5,2020-12-13
"Richmond County",2020-12-14,-28,-9,-48,-49,-40,15,2020-12-14
"Richmond County",2020-12-15,-13,13,-32,-44,-38,12,2020-12-15
"Richmond County",2020-12-16,-29,0,-49,-51,-41,18,2020-12-16
"Richmond County",2020-12-17,-58,-46,-49,-64,-62,28,2020-12-17
"Richmond County",2020-12-18,-34,-11,-44,-48,-39,17,2020-12-18
"Richmond County",2020-12-19,-31,-2,-28,-39,-10,8,2020-12-19
"Richmond County",2020-12-20,-28,-5,-30,-39,-9,7,2020-12-20
"Richmond County",2020-12-21,-15,6,-31,-45,-38,13,2020-12-21
"Richmond County",2020-12-22,-9,14,-33,-45,-39,13,2020-12-22
"Richmond County",2020-12-23,-2,28,-30,-44,-37,12,2020-12-23
"Richmond County",2020-12-24,-16,29,-38,-48,-50,15,2020-12-24
"Richmond County",2020-12-25,-80,-59,-74,-76,-80,29,2020-12-25
"Richmond County",2020-12-26,-42,-17,-45,-46,-22,11,2020-12-26
"Richmond County",2020-12-27,-35,-18,-27,-38,-14,7,2020-12-27
"Richmond County",2020-12-28,-22,-7,-28,-49,-44,15,2020-12-28
"Richmond County",2020-12-29,-21,-7,-39,-48,-44,16,2020-12-29
"Richmond County",2020-12-30,-17,4,-35,-49,-43,16,2020-12-30
"Richmond County",2020-12-31,-21,15,-50,-50,-48,17,2020-12-31
"Richmond County",2021-01-01,-61,-42,-59,-72,-75,29,2021-01-01
"Richmond County",2021-01-02,-37,-11,-18,-38,-19,9,2021-01-02
"Richmond County",2021-01-03,-44,-25,-56,-48,-17,10,2021-01-03
"Richmond County",2021-01-04,-28,-6,-33,-48,-40,15,2021-01-04
"Richmond County",2021-01-05,-26,-7,-34,-48,-40,16,2021-01-05
"Richmond County",2021-01-06,-28,-9,-36,-49,-38,16,2021-01-06
"Richmond County",2021-01-07,-30,-11,-35,-47,-37,16,2021-01-07
"Richmond County",2021-01-08,-35,-12,-43,-48,-37,17,2021-01-08
"Richmond County",2021-01-09,-36,-11,-35,-42,-14,9,2021-01-09
"Richmond County",2021-01-10,-33,-14,-23,-40,-14,7,2021-01-10
"Richmond County",2021-01-11,-32,-14,-41,-50,-41,16,2021-01-11
"Richmond County",2021-01-12,-29,-11,-35,-47,-40,16,2021-01-12
"Richmond County",2021-01-13,-29,-12,-37,-50,-39,16,2021-01-13
"Richmond County",2021-01-14,-32,-14,-30,-47,-39,15,2021-01-14
"Richmond County",2021-01-15,-37,-14,-48,-51,-40,17,2021-01-15
"Richmond County",2021-01-16,-38,-13,-32,-46,-15,8,2021-01-16
"Richmond County",2021-01-17,-37,-18,-29,-43,-16,7,2021-01-17
"Richmond County",2021-01-18,-27,-13,-34,-58,-54,18,2021-01-18
"Richmond County",2021-01-19,-33,-15,-40,-50,-40,15,2021-01-19
"Richmond County",2021-01-20,-34,-17,-46,-54,-40,17,2021-01-20
"Richmond County",2021-01-21,-32,-14,-42,-48,-37,16,2021-01-21
"Richmond County",2021-01-22,-35,-11,-43,-49,-38,16,2021-01-22
"Richmond County",2021-01-23,-40,-15,-44,-47,-15,9,2021-01-23
"Richmond County",2021-01-24,-40,-19,-41,-48,-15,8,2021-01-24
"Richmond County",2021-01-25,-33,-14,-37,-50,-40,15,2021-01-25
"Richmond County",2021-01-26,-40,-23,-53,-54,-42,17,2021-01-26
"Richmond County",2021-01-27,-32,-14,-43,-52,-38,16,2021-01-27
"Richmond County",2021-01-28,-34,-17,-45,-50,-37,16,2021-01-28
"Richmond County",2021-01-29,-41,-19,-56,-56,-40,18,2021-01-29
