Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
Q,Partially Locked,06/21/2020 11:14:48 AM,Q020,Q020-02,,Reopened,false,Not Applicable,Heath Pl & Highland Blvd,Upper Highland Playground,POINT (-73.89270636942929 40.682842781923604),Unknown,Q020-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 11:14:45 AM,305,Q-05A
R,Completely Locked,06/23/2020 01:21:02 PM,R067,R067,,Reopened,false,Not Applicable,Dongan Hills Ave. and Jefferson St.,Gen. Douglas MacArthur Park,POINT (-74.10115926362145 40.58567058121784),Adults Allowed,R067-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,502,R-02
Q,Completely Locked,06/25/2020 11:28:00 AM,Q516,Q516,,UnderConstruction,,,,Lt. Michael R. Davidson Playground,POINT (-73.9135101287059 40.74865716979833),,,03/31/2020 07:11:11 PM,06/25/2020 11:27:58 AM,402,Q-02
Q,Partially Locked,06/19/2020 10:47:45 AM,Q015,Q015-02,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Union Tpke, Park Lane S, Adj Overlook",Sobelsohn Park,POINT (-73.83597799420569 40.7095355541116),Unknown,Q015-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 10:47:42 AM,482,Q-16
B,Completely Locked,06/22/2020 04:19:50 PM,B223A,B223A,,Reopened,,,"Rapelye St., Hicks St., Coles St.",Dimattina Playground,POINT (-74.00274430472467 40.67996906869151),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,306,B-06
Q,Completely Locked,06/21/2020 06:41:49 PM,Q102,Q102-02,,Reopened,false,Not Applicable,"80th St, Juniper Blvd S, 77th Place, Juniper Blvd S, 78th St",Juniper North Playground Tennis,POINT (-73.87769775064412 40.72018675240357),Unknown,Q102-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
R,Not Lockable,06/22/2020 04:56:40 PM,R109,R109-01,,Reopened,false,Not Applicable,"Broadway, Wayne St",Corporal Thompson Playground,POINT (-74.11805292117842 40.63894104940415),Adults not allowed in some locations,R109-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,501,R-01
B,Partially Locked,06/22/2020 03:29:41 PM,B128,B128,,Reopened,false,Not Applicable,Ave. P bet. E. 4 St. and Ocean Pkwy.,Colonel David Marcus Playground,POINT (-73.9687817102833 40.61026298889189),Adults Allowed,B128-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,312,B-12
B,Partially Locked,06/22/2020 01:13:48 PM,B218,B218,,Reopened,,,,Paerdegat Park,POINT (-73.93834704422521 40.638357610249855),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,317,B-17
B,Completely Locked,06/22/2020 01:43:27 PM,B324,B324,,Reopened,false,Not Applicable,Ave. K between E. 58 St. and E. 59 St.,Jacob Joffe Fields,POINT (-73.91932597323886 40.62457269553431),Adults not allowed in some locations,B324-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
M,Completely Locked,06/22/2020 11:04:53 AM,M264,M264,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"W. 89 St., Amsterdam Ave. and Columbus Ave.",Playground Eighty Nine LXXXIX,POINT (-73.97177270292322 40.788560957606),Adults not allowed in some locations,M264-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,107,M-07
X,Completely Locked,06/22/2020 11:05:07 AM,X170,X170,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,St. Peter's Ave. at Tratman Ave.,The Pearly Gates,POINT (-73.84556077046427 40.83859644915696),Adults Allowed,X170-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,210,X-10
Q,Not Lockable,06/23/2020 12:26:47 PM,Q086,Q086-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,149 St & 25 Ave,Leonardo Ingravallo Playground,POINT (-73.81738412900336 40.77612870845964),Adults Allowed,Q086-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:26:44 PM,407,Q-07
