Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
B,Completely Locked,06/23/2020 10:01:04 AM,B298,B298,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Park Ave., Martin Luther King Pl., Marcy Ave.",Stockton Playground,POINT (-73.94819360865246 40.697202021682365),Unknown,B298-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
M,Completely Locked,06/22/2020 11:19:07 AM,M010,M010-187,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,91 St & Central Park West,Safari Plgd,POINT (-73.9664312942917 40.788480879479),Unknown,M010-CPA-0013,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,164,M-13
Q,Completely Locked,06/23/2020 10:55:47 AM,Q099,Q099-17,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"College Pt Blvd, Van Wyck Expwy, At Booth Memorial Ave",Lawrence Playground,POINT (-73.83345481862513 40.7483758761606),Unknown,Q099-CPA-0004,03/31/2020 07:11:11 PM,06/23/2020 10:55:44 AM,407,Q-15
B,Completely Locked,06/22/2020 01:34:45 PM,B274,B274,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Seaview Ave. between E. 99 St. and E. 101 St.,Bayview Playground,POINT (-73.88740121248914 40.63480442292914),Adults Allowed,B274-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
M,Completely Locked,06/22/2020 11:42:55 AM,M028,M028-02,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W 162 St, E/o Riverside Dr",Lily Brown Playground,POINT (-73.94613870402596 40.83886143076844),Adults Allowed,M028-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12
B,Not Lockable,06/22/2020 03:35:31 PM,B364,B364,,Reopened,false,Not Applicable,"Bergen St., Utica Ave., Rochester Ave., St Mark's Ave.",Woods Playground,POINT (-73.92914353632395 40.67466601736863),Adults Allowed,B364-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,308,B-08
B,Completely Locked,06/22/2020 11:24:37 AM,B163,B163,,Reopened,false,Not Applicable,"Atlantic Ave., Cleveland St. and Liberty Ave.",Sperandeo Brothers Playground,POINT (-73.88385300640164 40.67776038323962),Adults Allowed,B163-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
R,Completely Locked,07/06/2020 02:25:41 PM,R105,R105,,Reopened,,,"Elizabet.h St., Forest Ave., Broadway, Clove Lake Pl.",Prall Playground,POINT (-74.11813711903565 40.62860283355659),,,03/31/2020 07:11:11 PM,07/06/2020 12:00:00 AM,501,R-01
Q,Partially Locked,06/22/2020 01:03:22 PM,Q379,Q379,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,148 St. bet. 85 Ave. and 85 Rd.,Briarwood Playground,POINT (-73.81080527374299 40.71065269734885),Adults not allowed in some locations,Q379-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,408,Q-08
M,Completely Locked,06/22/2020 12:57:27 PM,M355,M355,,Reopened,false,Not Applicable,W. 146 St. bet. Fredrick Douglass Blvd. and Adam Clayton Powell Blvd.,Robert L. Clinkscales Playground and Community Garden,POINT (-73.9399028444458 40.82254889079353),Adults Allowed,M355-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,110,M-10
X,Completely Locked,06/22/2020 10:43:01 AM,X092,X092-26,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Jerome Ave, East Gunhill Rd",Sachkerah Woods Playground,POINT (-73.88160199994827 40.883938427149474),Unknown,X092-CPA-0004,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,226,X-13
B,Completely Locked,06/22/2020 03:35:50 PM,B148,B148,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Clarkson Ave., New York Ave.",Rolph Henry Playground,POINT (-73.94754953340225 40.65581542019236),Adults Allowed,B148-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,309,B-09
