"borough","ClosureType","EditDate","FeatureType","PropID","PropName","PropNum","SiteName","Status","longitude","latitude","Approx.Date.Closed","Approx.Date.Reopened","button","content"
"Brooklyn","Blocked with Barricade","06/22/2020 01:09:16 PM","Exercise Equipment","B219","Callahan-Kelly Playground","B219","Callahan-Kelly Playground","Reopened",-73.9053141691572,40.6783597533944,"04/10/2020 05:02:29 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Callahan-Kelly Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 03:03:10 PM","Exercise Equipment","B058-ZN02","McCarren Park","B058","McCarren Park Zone 2","Reopened",-73.9513912390274,40.7200251227083,"04/17/2020 10:39:45 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","McCarren Park, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B137","Sixteen Sycamores Playground","B137","Sixteen Sycamores Playground","Active",-73.9810056827376,40.6867917268052,"","","AdultExerciseEquip","Sixteen Sycamores Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Temporary Fencing","06/22/2020 04:25:59 PM","Exercise Equipment","M111","James Weldon Johnson Playground","M111","James Weldon Johnson Playground","Reopened",-73.9418567217015,40.7971783560792,"04/13/2020 01:17:18 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","James Weldon Johnson Playground, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Partially Locked","06/22/2020 09:54:58 AM","Exercise Equipment","X194","Captain Rivera Playground","X194","Captain Rivera Playground","Reopened",-73.9069325945975,40.8179342671832,"04/10/2020 10:08:35 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Captain Rivera Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/22/2020 05:15:15 PM","Exercise Equipment","Q099-01","Flushing Meadows Corona Park","Q099","World's Fair Playground","Reopened",-73.8459016893505,40.7375214845361,"04/11/2020 06:17:56 PM","","AdultExerciseEquip","Flushing Meadows Corona Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 07:52:25 PM","Exercise Equipment","Q106","Daniel M. O'Connell Playground","Q106","Daniel M. O'Connell Playground","Reopened",-73.7580972873256,40.6998678123501,"04/11/2020 07:01:26 PM","06/21/2020 02:30:00 PM","AdultExerciseEquip","Daniel M. O'Connell Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Blocked with Barricade","06/22/2020 10:28:38 AM","Exercise Equipment","X111","Cedar Playground","X111","Cedar Playground","Reopened",-73.9173885905747,40.8551222357328,"04/16/2020 11:49:39 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Cedar Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Staten Island","","04/09/2020 03:20:54 PM","Exercise Equipment","R005-ZN04","Clove Lakes Park","R005","Clove Lakes Park Zone 4","Active",-74.1207116377569,40.6246963679996,"","","AdultExerciseEquip","Clove Lakes Park, Staten Island, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/21/2020 07:51:32 PM","Exercise Equipment","Q005-01","Baisley Pond Park","Q005","Sutphin Playground","Reopened",-73.789076327717,40.6747533251112,"04/11/2020 06:54:38 PM","06/21/2020 02:30:00 PM","AdultExerciseEquip","Baisley Pond Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","","04/15/2020 04:31:07 PM","Exercise Equipment","M099","J. Hood Wright Park","M099","J. Hood Wright Park","Active",-73.9409453399472,40.8463557513885,"","","AdultExerciseEquip","J. Hood Wright Park, Manhattan, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Blocked with Barricade","06/22/2020 05:19:04 PM","Exercise Equipment","M289","East River Esplanade","M289","East River Esplanade","Reopened",-73.969684762953,40.7458688275249,"04/10/2020 11:54:49 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","East River Esplanade, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B295","Oxport Playground","B295","Oxport Playground","Active",-73.9762438573247,40.6976044852804,"","","AdultExerciseEquip","Oxport Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 11:19:22 AM","Exercise Equipment","X253","Ambrosini Field","X253","Ambrosini Field","Reopened",-73.7833929633407,40.8445008858616,"04/10/2020 02:15:47 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Ambrosini Field, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/19/2020 01:59:41 PM","Exercise Equipment","Q021-03","Cunningham Park","Q021","210 St Playground","Reopened",-73.7653387607249,40.7392538740078,"04/11/2020 07:21:57 PM","06/19/2020 01:59:39 PM","AdultExerciseEquip","Cunningham Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","","04/09/2020 03:18:23 PM","Exercise Equipment","Q162J01","Beach 9 Playground","Q162J01","Beach 9 Playground","Active",-73.7450264620596,40.5952950243855,"","","AdultExerciseEquip","Beach 9 Playground, Queens, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/10/2020 04:00:56 PM","Exercise Equipment","B068","Parade Ground","B068","Parade Ground","Active",-73.9683536516401,40.6508646283649,"","","AdultExerciseEquip","Parade Ground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 01:37:56 PM","Exercise Equipment","B018-ZN03","Canarsie Park","B018","Canarsie Park Zone 3","Reopened",-73.8967247065833,40.6256647399516,"04/10/2020 04:40:03 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Canarsie Park, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/22/2020 04:19:21 PM","Exercise Equipment","M184","Samuel N. Bennerson 2nd Playground","M184","Samuel N. Bennerson 2nd Playground","Reopened",-73.9869538449331,40.7738239425804,"04/09/2020 03:22:59 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Samuel N. Bennerson 2nd Playground, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 02:31:33 PM","Exercise Equipment","B429","Hope Ballfield","B429","Hope Ballfield","Reopened",-73.9171354520665,40.6974840467745,"05/21/2020 11:52:23 AM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Hope Ballfield, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 11:04:19 AM","Exercise Equipment","X160","Caserta Playground","X160","Caserta Playground","Reopened",-73.8540294532113,40.837337871101,"04/10/2020 02:23:28 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Caserta Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 01:39:54 PM","Exercise Equipment","B352","Curtis Playground","B352","Curtis Playground","Reopened",-73.9174152275701,40.6409520818365,"04/10/2020 04:46:57 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Curtis Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 09:53:27 AM","Exercise Equipment","X146","Flynn Playground","X146","Flynn Playground","Reopened",-73.9119327887586,40.8210446150277,"04/10/2020 10:08:58 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Flynn Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 10:55:22 AM","Exercise Equipment","X123","Noble Playground","X123","Noble Playground","Reopened",-73.8722518009381,40.8373096478027,"04/10/2020 02:22:43 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Noble Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/23/2020 11:17:19 AM","Exercise Equipment","Q099-20","Flushing Meadows Corona Park","Q099","Albert H. Mauro Playground","Reopened",-73.8272274300813,40.7233639523786,"04/11/2020 07:24:08 PM","06/23/2020 10:55:44 AM","AdultExerciseEquip","Flushing Meadows Corona Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B151","Dome Playground","B151","Dome Playground","Active",-73.980194208446,40.6382066929522,"","","AdultExerciseEquip","Dome Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Staten Island","Completely Locked","06/23/2020 09:54:14 AM","Exercise Equipment","R090","Lieutenant John H. Martinson Playground","R090","Lieutenant John H. Martinson Playground","Reopened",-74.1626445163375,40.5368629340217,"04/09/2020 03:20:54 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Lieutenant John H. Martinson Playground, Staten Island, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B192","Russell Pedersen Playground","B192","Russell Pedersen Playground","Active",-74.0361807956367,40.6263814962528,"","","AdultExerciseEquip","Russell Pedersen Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 09:52:44 AM","Exercise Equipment","X353","Yolanda García Park","X353","Yolanda Garcia Park","Reopened",-73.9138083016941,40.8231039203689,"04/10/2020 10:26:40 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Yolanda García Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/19/2020 10:00:46 AM","Exercise Equipment","M144-ZN05","John V. Lindsay East River Park","M144","East River Park Zone 5","Reopened",-73.973599808061,40.7215740594433,"04/10/2020 11:58:13 AM","06/19/2020 12:00:00 AM","AdultExerciseEquip","John V. Lindsay East River Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","","04/09/2020 03:22:58 PM","Exercise Equipment","M042-ZN02","Inwood Hill Park","M042","Inwood Hill Park Zone 2","Active",-73.9209261902131,40.8735438456456,"","","AdultExerciseEquip","Inwood Hill Park, Manhattan, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B051","Kelly Park Playground","B051","Kelly Park Playground","Active",-73.9576420114582,40.6041785622681,"","","AdultExerciseEquip","Kelly Park Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B275","Grady Playground","B275","Grady Playground","Active",-73.96471236516,40.5830531047965,"","","AdultExerciseEquip","Grady Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 07:51:32 PM","Exercise Equipment","Q413","Rochdale Park","Q413","Rochdale Park","Reopened",-73.774423241374,40.6746707188891,"04/11/2020 07:32:19 PM","06/21/2020 02:30:00 PM","AdultExerciseEquip","Rochdale Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/21/2020 08:00:33 PM","Exercise Equipment","Q211","Maple Playground","Q211","Maple Playground","Reopened",-73.8260914706569,40.7558749496777,"04/11/2020 07:28:15 PM","06/21/2020 12:30:00 PM","AdultExerciseEquip","Maple Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Temporary Fencing","06/22/2020 11:19:43 AM","Exercise Equipment","X039-ZN01","Pelham Bay Park","X039","Aileen Ryan Rec. Complex","Reopened",-73.823549555991,40.8483866866509,"04/10/2020 02:15:17 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Pelham Bay Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/25/2020 01:57:53 PM","Exercise Equipment","B263","Sumner Playground","B263","Sumner Playground","Reopened",-73.9427592079401,40.6972757305256,"04/10/2020 12:01:47 PM","06/25/2020 12:00:00 AM","AdultExerciseEquip","Sumner Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 11:41:39 AM","Exercise Equipment","Q008-01","Brookville Park","Q008","Brookville Playground","Reopened",-73.7414404716058,40.663212483149,"04/11/2020 07:33:20 PM","06/21/2020 11:45:00 AM","AdultExerciseEquip","Brookville Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/21/2020 05:11:23 PM","Exercise Equipment","Q382","Cardozo Playground","Q382","Cardozo Playground","Reopened",-73.7865681101851,40.5932390059611,"04/11/2020 07:36:25 PM","06/21/2020 02:30:00 PM","AdultExerciseEquip","Cardozo Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","","04/09/2020 03:18:23 PM","Exercise Equipment","Q162J","Beach 17 Playground","Q162J","Beach 17 Playground","Active",-73.7488044685111,40.5944897409066,"","","AdultExerciseEquip","Beach 17 Playground, Queens, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","06/22/2020 01:36:30 PM","Exercise Equipment","B018-01","Canarsie Park","B018","Dinapoli Plgd","UnderConstruction",-73.8929909301427,40.6308256536661,"","","AdultExerciseEquip","Canarsie Park, Brooklyn, NY<br/><b>Status: </b>UnderConstruction<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B106B","Lafayette Playground","B106B","Lafayette Playground","Active",-73.9852898442002,40.5945088294056,"","","AdultExerciseEquip","Lafayette Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B073-ZN06","Prospect Park","B073","Prospect Park Southwest Lower","Active",-73.9727203670919,40.6548330000262,"","","AdultExerciseEquip","Prospect Park, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Bronx","Temporary Fencing","06/22/2020 09:35:51 AM","Exercise Equipment","X045-01","St. Mary's Park","X045","St Mary's Playground East","Reopened",-73.9104894866682,40.8102807321832,"04/10/2020 10:05:18 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","St. Mary's Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/29/2020 11:01:45 AM","Exercise Equipment","M029-01","Fort Tryon Park","M029","Jacob Javits Plgd","Reopened",-73.9344719040704,40.8589069725352,"04/10/2020 11:39:34 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Fort Tryon Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Staten Island","","04/09/2020 03:20:54 PM","Exercise Equipment","R125","Lopez Playground","R125","Lopez Playground","Active",-74.0850541955786,40.6114866685264,"","","AdultExerciseEquip","Lopez Playground, Staten Island, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 12:30:24 PM","Exercise Equipment","B246","Jerome Playground","B246","Jerome Playground","Reopened",-73.8795907888836,40.6589256876311,"04/10/2020 04:59:19 PM","06/20/2020 12:00:00 AM","AdultExerciseEquip","Jerome Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Partially Locked","06/22/2020 11:01:25 AM","Exercise Equipment","X088-ZN02","Pugsley Creek Park","X088","Pugsley Creek Park Zone 2","Reopened",-73.8522476643361,40.8125106824212,"04/10/2020 02:21:54 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Pugsley Creek Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/19/2020 02:02:20 PM","Exercise Equipment","Q129","Phil ""Scooter"" Rizzuto Park","Q129","Phil ""Scooter"" Rizzuto Park","Reopened",-73.821586656512,40.6947929514848,"04/11/2020 06:56:49 PM","06/19/2020 02:01:52 PM","AdultExerciseEquip","Phil ""Scooter"" Rizzuto Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/23/2020 02:55:47 PM","Exercise Equipment","B118A","St. Mary's Park","B118A","St. Mary's Park","Reopened",-73.9972199051525,40.6764312262666,"04/10/2020 12:35:58 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","St. Mary's Park, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B285","Harry Maze Playground","B285","Harry Maze Playground","Active",-73.9231758776456,40.6434178386813,"","","AdultExerciseEquip","Harry Maze Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/22/2020 02:25:20 PM","Exercise Equipment","Q450","Corona Golf Playground","Q450","Corona Golf Playground","Reopened",-73.8546113034708,40.7475823814804,"04/11/2020 06:07:49 PM","06/22/2020 02:25:18 PM","AdultExerciseEquip","Corona Golf Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","","06/21/2020 07:54:13 PM","Exercise Equipment","Q004-ZN01","Astoria Park","Q004","Astoria Park Zone 1","Reopened",-73.9250723759056,40.7767300402761,"04/13/2020 03:34:45 PM","06/21/2020 01:00:00 PM","AdultExerciseEquip","Astoria Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/22/2020 05:15:49 PM","Exercise Equipment","Q031","Lawrence Virgilio Playground","Q031","Lawrence Virgilio Playground","Reopened",-73.910747220155,40.7474700690462,"04/11/2020 05:45:14 PM","","AdultExerciseEquip","Lawrence Virgilio Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 04:17:04 PM","Exercise Equipment","B007","Bensonhurst Park","B007","Bensonhurst Park","Reopened",-74.0013022644802,40.596512856449,"04/10/2020 11:54:36 AM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Bensonhurst Park, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 11:00:01 AM","Exercise Equipment","X204","Story Playground","X204","Story Playground","Reopened",-73.8628438918963,40.8229134353993,"04/20/2020 10:59:13 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Story Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/22/2020 05:17:37 PM","Exercise Equipment","M263","Bellevue South Park","M263","Bellevue South Park","Reopened",-73.9780575486674,40.7400325588261,"04/10/2020 11:52:24 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Bellevue South Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/21/2020 07:56:32 PM","Exercise Equipment","Q474","Simeone Park","Q474","Simeone Park","Reopened",-73.8599236103271,40.7409795313811,"04/11/2020 06:09:46 PM","06/21/2020 01:00:00 PM","AdultExerciseEquip","Simeone Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","","04/09/2020 03:24:38 PM","Exercise Equipment","X002-ZN05A","Bronx Park","X002","Bronx River Parkway East (South Half)","Active",-73.867856871927,40.8813584342983,"","","AdultExerciseEquip","Bronx Park, Bronx, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","06/22/2020 04:39:12 PM","Exercise Equipment","B221","Steuben Playground","B221","Steuben Playground","Reopened",-73.9634580775988,40.6974449187047,"","06/22/2020 12:00:00 AM","AdultExerciseEquip","Steuben Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B060-01","McKinley Park","B060","McKinley Park Playground","Active",-74.0168607921879,40.6263889327547,"","","AdultExerciseEquip","McKinley Park, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 07:12:37 PM","Exercise Equipment","Q360M","Frontera Park","Q360M","Frontera Park","Reopened",-73.8953707957513,40.724676062075,"04/11/2020 05:52:31 PM","06/21/2020 07:12:34 PM","AdultExerciseEquip","Frontera Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/19/2020 10:01:46 AM","Exercise Equipment","M088","Tompkins Square Park","M088","Tompkins Square Park","Reopened",-73.9817129425862,40.7264520653143,"04/10/2020 11:57:46 AM","06/19/2020 12:00:00 AM","AdultExerciseEquip","Tompkins Square Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 02:31:08 PM","Exercise Equipment","B139","Heckscher Playground","B139","Heckscher Playground","Reopened",-73.9182682354429,40.6951149067336,"04/10/2020 12:28:31 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Heckscher Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B296","Luna Playground","B296","Luna Playground","Active",-73.9784012305104,40.5760948817291,"","","AdultExerciseEquip","Luna Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 10:36:29 AM","Exercise Equipment","X020","Fort Independence Playground","X020","Fort Independence Playground","Reopened",-73.8949071736126,40.881891241268,"04/17/2020 01:49:58 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Fort Independence Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 10:22:27 AM","Exercise Equipment","X108","Belmont Playground","X108","Belmont Playground","Reopened",-73.8876937082305,40.8502878434943,"04/10/2020 10:28:53 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Belmont Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 03:20:07 PM","Exercise Equipment","Q108","Laurelton Playground","Q108","Laurelton Playground","Reopened",-73.7365322073386,40.6700005457668,"04/11/2020 07:34:27 PM","06/21/2020 03:20:04 PM","AdultExerciseEquip","Laurelton Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/22/2020 04:28:09 PM","Exercise Equipment","M058-01","Marcus Garvey Park","M058","Mt. Morris East","Reopened",-73.9430975162862,40.8033260330718,"04/13/2020 01:11:34 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Marcus Garvey Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/22/2020 05:18:19 PM","Exercise Equipment","Q314","Fresh Meadows Playground","Q314","Fresh Meadows Playground","Reopened",-73.7961838563653,40.7341168076291,"04/11/2020 07:22:56 PM","","AdultExerciseEquip","Fresh Meadows Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/22/2020 03:34:12 PM","Exercise Equipment","M071-04","Riverside Park","M071","Neufeld Playground","Reopened",-73.9847317513597,40.7835153799266,"04/15/2020 04:34:05 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Riverside Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/22/2020 02:23:02 PM","Exercise Equipment","Q098","Frank D. O'Connor Playground","Q098","Frank D. O'Connor Playground","Reopened",-73.8867229725182,40.7442470342751,"04/11/2020 05:51:28 PM","06/22/2020 02:22:55 PM","AdultExerciseEquip","Frank D. O'Connor Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 09:33:25 AM","Exercise Equipment","X238","Saw Mill Playground","X238","Saw Mill Playground","Reopened",-73.9193732942623,40.8089131054485,"04/10/2020 10:06:45 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Saw Mill Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Partially Locked","06/22/2020 02:17:39 PM","Exercise Equipment","B258","Brevoort Playground","B258","Brevoort Playground","Reopened",-73.9227610148084,40.6804702211815,"04/10/2020 12:12:20 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Brevoort Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Staten Island","Completely Locked","06/22/2020 02:41:30 PM","Exercise Equipment","R068","The Big Park","R068","The Big Park","Reopened",-74.1645127511303,40.6308095757155,"04/09/2020 03:20:54 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","The Big Park, Staten Island, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/23/2020 12:56:11 PM","Exercise Equipment","B150","Kolbert Playground","B150","Kolbert Playground","Reopened",-73.958007598679,40.6200755887226,"04/10/2020 03:58:01 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Kolbert Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B274","Bayview Playground","B274","Bayview Playground","Active",-73.8869098497052,40.6349124083166,"","","AdultExerciseEquip","Bayview Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Bronx","Temporary Fencing","06/22/2020 10:29:48 AM","Exercise Equipment","X001-01","Aqueduct Walk","X001","Aqueduct Lands Plgd","Reopened",-73.9085817504089,40.8576966648175,"04/13/2020 12:05:26 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Aqueduct Walk, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
