"borough","ClosureType","EditDate","FeatureType","PropID","PropName","PropNum","SiteName","Status","longitude","latitude","Approx.Date.Closed","Approx.Date.Reopened","button","content"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B054-ZN01","Lincoln Terrace / Arthur S. Somers Park","B054","Lincoln Terr Pk/Arthur S Somers Zone 1","Active",-73.927344650854,40.6659117711168,"","","AdultExerciseEquip","Lincoln Terrace / Arthur S. Somers Park, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Bronx","Temporary Fencing","06/22/2020 09:41:37 AM","Exercise Equipment","X030","Macombs Dam Park","X030","Macombs Dam Park","Reopened",-73.9281690901287,40.8287635358581,"04/10/2020 02:45:24 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Macombs Dam Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B316","DiGilio Playground","B316","DiGilio Playground","Active",-73.9771308362306,40.6326286600865,"","","AdultExerciseEquip","DiGilio Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B162","Brizzi Playground","B162","Brizzi Playground","Active",-73.9946487273126,40.6424175298883,"","","AdultExerciseEquip","Brizzi Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Staten Island","","04/09/2020 03:20:54 PM","Exercise Equipment","R109","CPL. Thompson Park","R109","CPL. Thompson Park","Active",-74.1188510110172,40.6380640758496,"","","AdultExerciseEquip","CPL. Thompson Park, Staten Island, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 07:06:46 PM","Exercise Equipment","Q020-01","Highland Park","Q020","Lower Highland Playground","Reopened",-73.8857385421865,40.683960812262,"04/11/2020 06:23:15 PM","06/21/2020 10:00:00 AM","AdultExerciseEquip","Highland Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/22/2020 05:16:37 PM","Exercise Equipment","Q174A","St. Michael's Playground","Q174A","St. Michael's Playground","Reopened",-73.9001513515219,40.7589809146564,"04/11/2020 05:35:29 PM","","AdultExerciseEquip","St. Michael's Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/22/2020 05:20:03 PM","Exercise Equipment","Q005-05","Baisley Pond Park","Q005","157 St Playground","Reopened",-73.7860883963776,40.6840874351686,"04/11/2020 07:31:41 PM","","AdultExerciseEquip","Baisley Pond Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 10:56:24 AM","Exercise Equipment","X159","Playground 174","X159","Playground 174","UnderConstruction",-73.8777645824404,40.8343485621014,"04/10/2020 02:23:08 PM","","AdultExerciseEquip","Playground 174, Bronx, NY<br/><b>Status: </b>UnderConstruction<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B223R","Jaime Campiz Playground","B223R","Jaime Campiz Playground","Active",-73.9543773678931,40.7135425377962,"","","AdultExerciseEquip","Jaime Campiz Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
