Borough,ClosureType,EditDate,GISPropNum,Name,OMPPropID,ParkDistrict,PropertyName,Red Sign Installed,Status,SubPropertyName,System,Yellow Sign Removed,polygon,Approx Date Closed,Approx Date Reopened
Q,Completely Locked,06/21/2020 05:18:56 PM,Q108,Laurelton Playground Skatepark,Q108,Q-13,Laurelton Playground,true,Reopened,,Q108-SKATEPARK-01,,"POLYGON ((-73.73668390680447 40.67012502788942, -73.73650992509945 40.67038353970218, -73.73650521239664 40.670390637609124, -73.73649906181353 40.67039706583817, -73.73649163249164 40.67040265725694, -73.73648312015062 40.67040726642938, -73.736473745247 40.67041077319061, -73.73646375059485 40.67041308624362, -73.73645339780678 40.67041414585281, -73.73644295664974 40.67041392381938, -73.73643269793818 40.670412426166955, -73.73631883151052 40.67037380491631, -73.73645002972297 40.67013692582413, -73.736663941575 40.67010231341406, -73.73668390680447 40.67012502788942))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 01:56:57 PM,B268,Nautilus Playground Skate Park,B268,B-13,Nautilus Playground,,Reopened,,B268-SKATEPARK-01,,"POLYGON ((-73.99611855267074 40.57162781096787, -73.99613730316965 40.57157539295955, -73.99646960918275 40.57158324992426, -73.99648350029906 40.57170120827503, -73.99611354930354 40.571704055520314, -73.99611855267074 40.57162781096787))",04/09/2020 07:11:11 PM,06/22/2020 12:00:00 AM
B,Completely Locked,06/23/2020 03:33:40 PM,B025,Cooper Skate Park,B025,B-01,Cooper Park,,Reopened,,B025-SKATEPARK-01,,"POLYGON ((-73.93645783466312 40.715417799944035, -73.93644411543515 40.71538450139787, -73.93660222417793 40.71534678784564, -73.93672401929983 40.71564240329858, -73.93641707872342 40.715715618585314, -73.93630900280657 40.71545330137357, -73.93636494972012 40.71543995612885, -73.93636557744236 40.715435742987154, -73.93636710448834 40.7154316654191, -73.93636949169772 40.715427833265345, -73.93637267269445 40.715424351848874, -73.93637656099423 40.71542131477482, -73.93638105237079 40.71541880483255, -73.93638602367682 40.715416889492296, -73.93639134112814 40.71541562090956, -73.93639686030556 40.71541503412452, -73.93640243089135 40.71541514436276, -73.93640790258507 40.715415948839684, -73.9364131262878 40.715417425860714, -73.93641796001938 40.71541953482456, -73.93642227365017 40.715422218927124, -73.93642595008336 40.71542540606307, -73.93645783466312 40.715417799944035))",04/09/2020 07:11:11 PM,06/23/2020 12:00:00 AM
B,Completely Locked,06/22/2020 04:44:33 PM,B243,Golconda Playground Skatepark,B243,B-02,Golconda Playground,,Reopened,,B243-SKATEPARK-01,,"POLYGON ((-73.98217389180603 40.69783790761945, -73.98215628660208 40.69782723021787, -73.98214126483954 40.69781446942891, -73.9821292464506 40.69779998282216, -73.98212056498194 40.69778417478043, -73.98211546523088 40.6977674865935, -73.98211408786767 40.697750385649705, -73.98211647298942 40.69773334922691, -73.98212255420792 40.6977168527851, -73.98213215983647 40.697701357359435, -73.98214502235906 40.69768729695437, -73.98216078198436 40.69767506323608, -73.98217899966248 40.69766499833, -73.98216232545266 40.69764625968647, -73.98216304749756 40.69760972871278, -73.98247237830945 40.69762577834166, -73.98247178043871 40.69763167660666, -73.98246995328799 40.697637427000416, -73.98246694303997 40.69764288094535, -73.98246282782033 40.69764789977434, -73.98245771296567 40.69765235382959, -73.98245172865506 40.69765612966618, -73.9824450299101 40.697659130052415, -73.98273425242878 40.697919335425865, -73.9827285475912 40.697999785441695, -73.98277930059707 40.69801181218482, -73.98281886030854 40.69804380789708, -73.98281921282346 40.698044092511616, -73.98291151780386 40.69804788390277, -73.98289855054011 40.69823077872989, -73.98267266628977 40.69822150118606, -73.98268221644975 40.698086820200416, -73.98256072380546 40.69808183012715, -73.98256804393588 40.69797859830353, -73.98254277494011 40.697964279929465, -73.98233495742903 40.69795574378187, -73.9823350061699 40.69795487389446, -73.98233662071434 40.697925488623525, -73.98233769310878 40.69790598819329, -73.98230675312784 40.697865233456305, -73.98227044033537 40.69787355940851, -73.98223283554093 40.69787729974091, -73.98219493028243 40.69787635644983, -73.98215772671394 40.69787075400416, -73.98212220684206 40.697860639340576, -73.9821128086084 40.69780421898032, -73.98212181948635 40.69781380633445, -73.98213273679578 40.69782216658544, -73.98214527781545 40.697829082665514, -73.98215911603536 40.69783437622203, -73.98217389180603 40.69783790761945))",04/09/2020 07:11:00 PM,06/22/2020 12:00:00 AM
B,Completely Locked,06/23/2020 03:34:02 PM,B127,Martinez Playground Skatepark,B127,B-01,Martinez Playground,,Reopened,,B127-SKATEPARK-01,,"POLYGON ((-73.9450430141989 40.7092484161744, -73.94474162408989 40.709276346228016, -73.94471884934549 40.7091386138133, -73.9450241647332 40.70910992656288, -73.9450430141989 40.7092484161744))",04/09/2020 07:11:11 PM,06/23/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 05:18:56 PM,Q373,East Elmhurst Playground,Q373,Q-03,East Elmhurst Playground,,Reopened,,Q373-SKATEPARK-01,,"POLYGON ((-73.87078469784655 40.76495775062189, -73.87050437396124 40.764991044528365, -73.8704765159078 40.76485545209163, -73.87070158038735 40.764828721264855, -73.87076587825936 40.76486614995657, -73.87078469784655 40.76495775062189))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
M,Blocked with Barricade,06/29/2020 11:01:17 AM,M037,Highbridge Park,M037-ZN07,M-12A,Highbridge Park,true,Reopened,Highbridge Park Zone 7,M037-ZN07-SKATEPARK-01,true,"POLYGON ((-73.93009301994158 40.846583585517656, -73.92996730511928 40.84643343858405, -73.92992321917826 40.84626295307578, -73.92991443319785 40.846250809098414, -73.92990833999339 40.846237749154646, -73.9299050992903 40.84622411372818, -73.9299047960899 40.84621025946596, -73.92990743830876 40.84619654927131, -73.92991295678912 40.84618334239854, -73.92992120649647 40.84617098364777, -73.92993197126954 40.84615979706448, -73.9299449721337 40.84615007423812, -73.92995986611962 40.84614206979908, -73.92997626405844 40.84613599422568, -73.92999373770493 40.84613200574409, -73.9300125751313 40.8461301828714, -73.93003154993208 40.8461307851055, -73.93005012139452 40.846133795909424, -73.93006776547895 40.84613913031956, -73.93008398074684 40.84614663584899, -73.93009830732399 40.846156101504455, -73.93011034113044 40.846167257794555, -73.93011973979692 40.84617978843963, -73.93014308274246 40.846172887695936, -73.93032368499071 40.8466631629211, -73.93009301994158 40.846583585517656))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/23/2020 03:14:13 PM,B111A,Washington Park Skatepark,B111A,B-06,Washington Park,,Reopened,,B111A-SKATEPARK-01,,"POLYGON ((-73.98540356502595 40.67248343003907, -73.98554648693306 40.67231519312469, -73.98614518410238 40.67261003871641, -73.98600226307371 40.67277827636857, -73.98540356502595 40.67248343003907))",04/09/2020 07:11:11 PM,06/22/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 05:18:56 PM,Q162J,Far Rockaway Skatepark,Q162J,Q-14,Beach 17 Playground,true,Reopened,,Q162J-SKATEPARK-01,,"POLYGON ((-73.74658656043039 40.595042862703586, -73.746597949622 40.595025513961545, -73.74661303111607 40.595009887061806, -73.74663136845841 40.59499643310498, -73.74665242973265 40.5949855435463, -73.74667560771806 40.59497753042889, -73.74670023169925 40.594972627310575, -73.74672558996322 40.59497097580538, -73.74675094871023 40.5949726229241, -73.74677557331464 40.59497752202164, -73.74679875432065 40.59498553105317, -73.74681981923821 40.5949964171025, -73.74683815967303 40.59500986724841, -73.7468532454887 40.59502549219735, -73.74686464011663 40.59504283892475, -73.74687201467064 40.59506140691494, -73.74687515499497 40.59508065898326, -73.74687396986866 40.59510003840377, -73.74686849449274 40.59511898422594, -73.74685888806282 40.595136948379135, -73.7468454266165 40.595153412767296, -73.74682849944918 40.59516790006718, -73.74680859840993 40.59517999261609, -73.74678629543214 40.59518933866644, -73.74676223892466 40.59519566948775, -73.74670148831588 40.595201928433106, -73.74664154534663 40.595211718290194, -73.74664833483521 40.595229728479275, -73.74652067971937 40.595262804269886, -73.7465147889848 40.59524518328212, -73.74644913179503 40.5952701883365, -73.74638676062312 40.59529967802317, -73.74636411602953 40.59531278293569, -73.74633888073743 40.5953227654031, -73.74631178711431 40.595329336170344, -73.74628362386468 40.595332303364394, -73.74625520882395 40.59533158143919, -73.74622736651227 40.595327191126344, -73.74620090804703 40.59531926029154, -73.7461766004478 40.59530801846298, -73.74615515129159 40.59529379319565, -73.74613718277098 40.595276997406245, -73.74612321755507 40.595258119435904, -73.74611366230889 40.59523770770469, -73.74610879357597 40.59521635537102, -73.74610875311801 40.5951946832115, -73.74611354208452 40.59517331979617, -73.74612302106449 40.59515288798074, -73.74613691490863 40.595133979702645, -73.7461548198589 40.59511714519065, -73.74617621661905 40.595102873182206, -73.74620048103499 40.595091578340174, -73.7462269101291 40.59508358960351, -73.74625473513888 40.59507913850951, -73.74628314870503 40.59507835475157, -73.74631132261177 40.595081260815064, -73.74635157679784 40.59509047560945, -73.7463932295478 40.59509476129273, -73.74643524756554 40.59509401112233, -73.74647659117583 40.59508824261569, -73.74651623557618 40.59507760119936, -73.74655319687551 40.59506234765889, -73.74658656043039 40.595042862703586))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
R,Completely Locked,06/22/2020 05:30:46 PM,R046,Ben Soto Skatepark,R046-07,R-02B,Franklin D. Roosevelt Boardwalk and Beach,true,Reopened,Midland Beach Playground,R046-07-SKATEPARK-01,true,"POLYGON ((-74.08426458777006 40.574759503854516, -74.08362897332758 40.57444467296333, -74.0838851579053 40.57429420659449, -74.08425246352333 40.57447104132158, -74.0844572293173 40.574648809458864, -74.08426458777006 40.574759503854516))",04/09/2020 12:00:00 AM,06/22/2020 12:00:00 AM
M,Completely Locked,06/19/2020 10:14:25 AM,M019,Coleman Skatepark,M019,M-03,Coleman Playground,true,Reopened,,M019-SKATEPARK-01,,"POLYGON ((-73.99327365430604 40.7115944908488, -73.99325481760475 40.711596107063876, -73.99324537854343 40.711596918771086, -73.99324018090589 40.711597365119346, -73.99323816906981 40.71159753789925, -73.99322443888008 40.711598717661516, -73.99321696076667 40.711599360185794, -73.99318126960777 40.71160242611726, -73.99314536661095 40.71160551093581, -73.99313788967943 40.71160615345504, -73.99311991096043 40.71160769855886, -73.99311792160897 40.711607869537, -73.99305523395572 40.71161325622945, -73.99299436878034 40.71161848630989, -73.99298194509284 40.71161955355887, -73.99296667879693 40.71162086557178, -73.99295921961355 40.711621506279464, -73.99291430001281 40.71162536581389, -73.99288641239018 40.711627762153995, -73.9928789768738 40.71162840195742, -73.99287090230308 40.71162909485091, -73.99286888928178 40.71162926672377, -73.99285844429211 40.71163016478598, -73.99284538627951 40.71163128691203, -73.99283446081498 40.71163222546519, -73.99283431170234 40.711632238063046, -73.99263594584326 40.71164700202504, -73.9925967233123 40.71164992166656, -73.99253236969409 40.71129279115741, -73.99252711348771 40.71124581297049, -73.99300001227566 40.711102488585524, -73.99300436996678 40.71111032329427, -73.99300979253086 40.71112007255346, -73.99307030457243 40.71122886781994, -73.99307983166065 40.71124599790893, -73.9930872384666 40.71125931330623, -73.99311055809225 40.711301239784035, -73.99314198621178 40.7113577460094, -73.99318752288538 40.71143961684741, -73.99321368351019 40.71148664936728, -73.99327365430604 40.7115944908488))",04/09/2020 07:11:11 PM,06/19/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 05:18:56 PM,Q004,Astoria Park Skatepark,Q004-ZN01,Q-01,Astoria Park,,Reopened,Astoria Park Zone 1,Q004-ZN01-SKATEPARK-01,,"POLYGON ((-73.92532913103746 40.77754482508601, -73.9253681495882 40.7775519049011, -73.92540506004165 40.77756384875399, -73.92543882033837 40.7775803191845, -73.92546847977304 40.77760085092108, -73.92549320029951 40.7776248662028, -73.92551228731465 40.777651688306406, -73.92552520030048 40.777680559562526, -73.92553157767378 40.77771066568525, -73.92553123676115 40.777741159184686, -73.92552418799278 40.77777117918694, -73.92551063131947 40.77779987934767, -73.92549755248542 40.77781864186902, -73.92548168061501 40.777836114864016, -73.92546323512394 40.77785206074071, -73.92541847296698 40.777887713292756, -73.92536768557923 40.77791834702629, -73.92531184025084 40.777943380835566, -73.92525199537542 40.77796233813358, -73.92518928977302 40.77797485945238, -73.92512491425445 40.77798070602749, -73.92509416678789 40.777965887185296, -73.92506700444777 40.77794746055136, -73.9250441516588 40.77792591737338, -73.92502621784257 40.77790183257097, -73.92501368203366 40.77787585031754, -73.92500687987435 40.77784866241921, -73.92500599178315 40.777820995700004, -73.92503737264298 40.77778765970123, -73.92496539128877 40.7776923090596, -73.9250029513214 40.77765550295392, -73.92504691507672 40.77762305222998, -73.92509641826497 40.77759559567553, -73.92515048654612 40.77757367295227, -73.92520805686358 40.777557714704535, -73.92526799758902 40.77754803536923, -73.92532913103746 40.77754482508601))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
