Borough,ClosureType,EditDate,GISPropNum,Name,OMPPropID,ParkDistrict,PropertyName,Red Sign Installed,Status,SubPropertyName,System,Yellow Sign Removed,polygon,Approx Date Closed,Approx Date Reopened
M,Completely Locked,07/07/2020 01:06:13 PM,M089,Union Square Park Dog Run,M089,M-05,Union Square Park,true,Reopened,,M089-DOGAREA0027,,"POLYGON ((-73.99095698122969 40.73539246410824, -73.99105477130713 40.735394537510786, -73.99104830360884 40.73546764833806, -73.99103403797669 40.73554011559476, -73.99101206915823 40.735611460215324, -73.99098254399122 40.7356812094402, -73.9909456566687 40.73574890041797, -73.9908679804496 40.73571553767506, -73.99090808940689 40.73560212909569, -73.99091589388235 40.735598147666074, -73.99092273838033 40.735593249443326, -73.99092843820249 40.7355875658872, -73.99093284061148 40.73558125097265, -73.99093582838347 40.735574473986105, -73.99093731980876 40.735567415923285, -73.99093727579461 40.735560268589346, -73.99093569631579 40.73555322199144, -73.9909326251492 40.73554646614008, -73.99092814395605 40.73554018294413, -73.99095698122969 40.73539246410824))",04/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM
M,Completely Locked,07/07/2020 12:09:00 PM,M088,Tompkins Square Park Dog Run,M088,M-03,Tompkins Square Park,true,Reopened,,M088-DOGAREA0026,,"POLYGON ((-73.98141327542263 40.72645335278594, -73.98142640055644 40.7265537814628, -73.98143702126995 40.72655990303431, -73.98144611230093 40.72656731388708, -73.98145340501246 40.726575796955714, -73.9814586875933 40.72658510276532, -73.98146180387177 40.726594958436905, -73.98146266159955 40.72660507489239, -73.9814612360015 40.72661515315887, -73.98145756858752 40.726624898776514, -73.98145176833617 40.726634024500335, -73.98144400458897 40.72664226200564, -73.9814345058647 40.726649370892986, -73.98142355038902 40.72665514138828, -73.98141146135706 40.7266594033471, -73.98139859272737 40.72666203255599, -73.98138532330364 40.726662950731665, -73.98137204252815 40.72666213182226, -73.98135913982928 40.72665960020457, -73.9813469963357 40.726655428881635, -73.98133596712063 40.72664974128103, -73.98132637528488 40.72664270495007, -73.98131850485659 40.72663452525129, -73.98131258658731 40.72662544355886, -73.98130879322028 40.72661572645173, -73.98124661209 40.72662677909338, -73.98086817284963 40.72646827408767, -73.98088882824217 40.726385519844044, -73.98089958521525 40.72636612286484, -73.98091434376485 40.72634831414523, -73.9809327131373 40.72633256818724, -73.98095420198281 40.72631930454503, -73.98097823966617 40.72630887432111, -73.98100418692034 40.72630155656628, -73.98103135242201 40.72629754477465, -73.98105901409724 40.726296946887835, -73.98108643569437 40.72629977899356, -73.98111288690642 40.726305964429045, -73.98113766467519 40.7263153391871, -73.98141327542263 40.72645335278594))",04/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM
M,Completely Locked,07/08/2020 11:59:33 AM,M047,Thomas Jefferson Park Dog Run,M047,M-11,Thomas Jefferson Park,true,Reopened,,M047-DOGAREA0012,,"POLYGON ((-73.93528895439641 40.79201479100013, -73.93499145468067 40.792436899795426, -73.9348518631686 40.79232025749245, -73.93528895439641 40.79201479100013))",04/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM
M,Completely Locked,07/07/2020 12:33:03 PM,M053,Theodore Roosevelt Park Dog Run,M053,M-07,Theodore Roosevelt Park,true,UnderConstruction,,M053-DOGAREA0014,,"POLYGON ((-73.97356522953291 40.781972685867174, -73.97424393041804 40.782238481257565, -73.97418078172369 40.78233169876839, -73.97408337796693 40.78229357307588, -73.97406535337133 40.78232018064682, -73.9739023202564 40.782256366709476, -73.97384025247192 40.7822264829954, -73.97377469284248 40.7822012729575, -73.97370624900547 40.782180969958475, -73.973635553491 40.78216576324332, -73.9736300615964 40.782183035410526, -73.97341692826605 40.78215737347308, -73.97340520197716 40.78208708480746, -73.9734324725302 40.78206206165226, -73.97346453248055 40.78204056775913, -73.97350060092008 40.78202312613619, -73.9735397998395 40.782010162515334, -73.97356522953291 40.781972685867174))",04/09/2020 03:55:28 PM,
M,Completely Locked,07/07/2020 12:32:36 PM,M077,St. Nicholas Park Dog Run,M077-ZN02,M-09,St. Nicholas Park,true,Reopened,St Nicholas Park Zone 02,M077-DOGAREA0022,,"POLYGON ((-73.94928819447615 40.81779472983819, -73.94908488751531 40.81790471516021, -73.94896810799042 40.81805476552869, -73.94906400357422 40.818147727482526, -73.94898340323724 40.81821411428444, -73.94893269433226 40.81819838267249, -73.94887966644707 40.81818795933852, -73.94882527716355 40.818183031107104, -73.94877051021366 40.81818368756256, -73.94871635296325 40.818189916536696, -73.94866378455855 40.81820160590409, -73.94861375340487 40.81821854537339, -73.94856716412866 40.81824042738152, -73.94846181363765 40.81820893049408, -73.94855983625398 40.817983106283705, -73.94875567254309 40.817800212552406, -73.94878831304167 40.81777327698803, -73.94881741796205 40.817744501931095, -73.94885213115737 40.81771957447567, -73.94889158568692 40.81769911827683, -73.94893479379809 40.817683646175325, -73.94898067301422 40.817673544901716, -73.94902807458668 40.817669067885, -73.94907581194755 40.81767032626092, -73.94912269152668 40.81767728888546, -73.9491675388267 40.81768978234654, -73.94920923042336 40.817707492778716, -73.94928819447615 40.81779472983819))",04/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM
M,Completely Locked,07/07/2020 02:04:51 PM,M158,Robert Moses Playground Dog Run,M158,M-06,Robert Moses Playground,true,Reopened,,M158-DOGAREA0039,,"POLYGON ((-73.96882015296923 40.748141899928065, -73.96927642095629 40.74833941260669, -73.96922548402725 40.748409425975126, -73.9692241155006 40.74840885018601, -73.96876521056181 40.74821574906784, -73.96882015296923 40.748141899928065))",04/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM
M,Completely Locked,07/06/2020 03:18:56 PM,M071,Riverside Park Dog Run (72nd St),M071-ZN01,M-14,Riverside Park,,Reopened,South Lawn,M071-DOGAREA0019,,"POLYGON ((-73.98658491354698 40.781352949592055, -73.9865825469956 40.78132154881896, -73.9865784558888 40.78131212279024, -73.986571547345 40.7813042488982, -73.98654645091727 40.78128941650742, -73.98647969145856 40.78126142830222, -73.98646209138387 40.781253482009014, -73.98644071449563 40.781240307855796, -73.98639001798307 40.78120049069452, -73.98633930930296 40.7811509850102, -73.98632146443451 40.781129632895755, -73.9863113613938 40.781113674803755, -73.98630840116296 40.78104918231199, -73.9863124420709 40.78103168514087, -73.9863210184149 40.781017162865574, -73.98633657935973 40.78100326636624, -73.98635926329425 40.78099103033299, -73.98638995762043 40.780979980302064, -73.98642952364246 40.78096981199881, -73.98652355047176 40.78099555577373, -73.98654360931882 40.78100604085964, -73.9866564271989 40.781108981337646, -73.98668149561237 40.78114519971943, -73.98670955215272 40.781179470654834, -73.98672575356208 40.78120319984447, -73.98673948319203 40.78122989049786, -73.98674917647804 40.78125766579008, -73.98677675495885 40.78127768261048, -73.98688799853169 40.78129399350367, -73.98679186923783 40.781425108193744, -73.98678217640959 40.781418685604166, -73.98677417216473 40.78141603180755, -73.9867378608849 40.781416820976546, -73.98671278359042 40.781424441735915, -73.98669146969297 40.78142158018326, -73.9866689012784 40.78142443666789, -73.98664633802245 40.7814015613102, -73.98662251796225 40.781395840361164, -73.98660621936634 40.781395838468015, -73.98658129236954 40.78139831194808, -73.98656484805097 40.78137486726904, -73.98658491354698 40.781352949592055))",04/09/2020 01:40:49 PM,07/06/2020 12:00:00 AM
M,Completely Locked,07/07/2020 12:07:06 PM,M071,Riverside Park Dog Run (87th St),M071-ZN06,M-14,Riverside Park,,Reopened,Serpentine Promenade,M071-DOGAREA0018,,"POLYGON ((-73.98093357866503 40.78998674582572, -73.9805493714697 40.79063891237983, -73.9805401912691 40.79065565923918, -73.98052740841796 40.790670980897374, -73.98051139152614 40.790684433468776, -73.98049260634502 40.79069562711412, -73.98047159562175 40.79070423774389, -73.9804489684332 40.790710016021556, -73.98042538004128 40.79071279546487, -73.98040151174972 40.790712494243515, -73.98037805786899 40.790709121480546, -73.98035569491051 40.790702775446114, -73.98033507210913 40.79069363905316, -73.98031678535666 40.79068197805207, -73.98030136535745 40.79066812932184, -73.98028925867264 40.79065249366265, -73.9802808146909 40.79063552408711, -73.98027627970838 40.79061771231142, -73.98027578271551 40.79059957344444, -73.98027934014056 40.79058163428185, -73.98028684874717 40.790564412593355, -73.98071807842233 40.78992118864944, -73.98072919677895 40.78990872397852, -73.98074292125942 40.789897862633026, -73.98075885960002 40.78988891611985, -73.9807765543885 40.78988214190491, -73.98079549965485 40.78987773261024, -73.98081515153497 40.789875814214774, -73.98083494841269 40.78987644335632, -73.98085432158501 40.78987960102983, -73.98087271540211 40.78988519709323, -73.98088960503897 40.789893071170866, -73.98090450597246 40.78990299715743, -73.98091698938177 40.789914690424474, -73.98092669991749 40.78992781772881, -73.98093335807053 40.78994200081458, -73.98093677320011 40.789956834425546, -73.98093684708599 40.789971893509374, -73.98093357866503 40.78998674582572))",04/09/2020 01:40:49 PM,07/07/2020 12:00:00 AM
M,Completely Locked,07/07/2020 12:32:20 PM,M056,Morningside Park Dog Run,M056-ZN01,M-09,Morningside Park,true,Reopened,Morningside Park Zone 1,M056-DOGAREA0015,,"POLYGON ((-73.95902744007678 40.804514240011045, -73.95901576821065 40.80450664645971, -73.95900414733198 40.80449900970141, -73.958994768932 40.80449278482093, -73.95899257862482 40.80449133153753, -73.95898106208902 40.80448361196813, -73.95896959891036 40.80447585009309, -73.95895818908818 40.804468046812936, -73.95894683262257 40.80446020212777, -73.95893552951347 40.80445231603751, -73.95892427976037 40.804444389442715, -73.95891308454891 40.804436421443306, -73.95890194506296 40.8044284138407, -73.95889085893361 40.80442036483316, -73.95887982852925 40.80441227712295, -73.95886885385158 40.80440414800862, -73.95885793371387 40.804395980191245, -73.95884707048677 40.8043877727712, -73.95883626298527 40.80437952574805, -73.95882551120874 40.804371240022384, -73.95882138660602 40.80436830022208, -73.95881729639682 40.80436531811045, -73.95881324058132 40.80436229368755, -73.95880922034337 40.80435922875477, -73.95880523568364 40.80435612241162, -73.95880128897106 40.80435297645994, -73.9587973790206 40.804349790899344, -73.958793508203 40.80434656483018, -73.9587907780515 40.80434424056776, -73.95883136840021 40.80432242608295, -73.95911491092204 40.80417004195403, -73.95922776068207 40.80421773360987, -73.95946892271303 40.804454528227204, -73.95946917963903 40.804458806586474, -73.95946967869538 40.80446636104487, -73.95947000698156 40.804472165774364, -73.95947029852724 40.804477975893995, -73.95947055096113 40.804483793203794, -73.95947076428432 40.80448961590287, -73.95947093968186 40.80449544399156, -73.9594710771549 40.804501275668954, -73.95947117433211 40.80450711273512, -73.95947123477038 40.80451295248987, -73.9594712549145 40.804518794931965, -73.95947123831968 40.80452464006261, -73.95947118143117 40.80453048698013, -73.95947108661917 40.80453633568526, -73.95947095388482 40.80454218437704, -73.95947078204289 40.80454803305511, -73.95947057109295 40.80455388261992, -73.9594705290127 40.80455487225307, -73.95947032222163 40.804559730370386, -73.95947003424332 40.804565577206546, -73.95946970834419 40.80457142132795, -73.9594693445237 40.804577263634975, -73.95946894159782 40.804583102326276, -73.95946850075107 40.8045889383027, -73.95946802080007 40.80459476886243, -73.95946750292873 40.80460059580679, -73.95946694713814 40.8046064173348, -73.95946635224375 40.80461223254557, -73.95946572061577 40.80461804143996, -73.95946504988403 40.80462384401709, -73.95946434123402 40.80462963937691, -73.95946359466697 40.80463542571834, -73.95946281018173 40.80464120484247, -73.95946198777992 40.804646974047785, -73.95946112864603 40.80465273423519, -73.95946023041107 40.804658483602815, -73.95945884651219 40.804661929324276, -73.95945739151898 40.804665357911205, -73.95945586661644 40.80466876936406, -73.95945427180523 40.80467216278236, -73.95945260708629 40.80467553636503, -73.95945087482984 40.804678890113, -73.95944907266575 40.80468222402534, -73.95944720296573 40.804685535401475, -73.95944596208972 40.804687643932645, -73.95944526691439 40.804688825142215, -73.95944326214257 40.804692091445844, -73.95944119102052 40.8046953343131, -73.95943905354926 40.804698551943, -73.9594368509133 40.804701745236486, -73.95943458311434 40.804704911492, -73.95943225015232 40.80470805070966, -73.95942985439738 40.80471116289013, -73.95942739347998 40.80471424713219, -73.959424870957 40.80471730073558, -73.95942228564213 40.804720325500824, -73.95941963872166 40.804723319627364, -73.95941693019607 40.80472628221475, -73.9594141624356 40.80472921326374, -73.95941133425617 40.80473211097294, -73.95940844684236 40.80473497624331, -73.95940550138081 40.80473780637364, -73.95940249787105 40.80474060226454, -73.95939943749873 40.804743363015916, -73.95939632144942 40.80474608772763, -73.95939314972367 40.80474877549919, -73.95938992232203 40.804751425430155, -73.95938664161467 40.80475403752129, -73.95938330878668 40.80475661177299, -73.95937992265402 40.804759146383944, -73.95937648440241 40.80476164045392, -73.95937299640138 40.80476409488437, -73.95936945746645 40.804766508774314, -73.95936586996885 40.80476888032358, -73.95936223390856 40.80477120953219, -73.95935855047075 40.80477349640059, -73.95935482084099 40.80477574002858, -73.95935104620487 40.80477793951623, -73.9593502804446 40.80477826522667, -73.95934948271805 40.80477854049795, -73.95934865539522 40.80477876533086, -73.95934780677405 40.80477893612634, -73.95934694159416 40.804779053786554, -73.95934606578263 40.8047791156121, -73.95934518407928 40.80477912250512, -73.95934430477968 40.804779074468605, -73.95934343262459 40.80477897060371, -73.95934257472295 40.80477881361437, -73.95934173463053 40.80477860260144, -73.95934092064172 40.80477833936874, -73.95934013631013 40.80477802661911, -73.95933938874573 40.80477766525553, -73.959338681501 40.804777259781694, -73.95933802050132 40.80477681019974, -73.9593374092986 40.80477632191395, -73.95933685263158 40.8047757976274, -73.95933635523883 40.804775240043355, -73.9593359183028 40.804774653664666, -73.95933554656094 40.80477404299548, -73.9593352423812 40.80477341163868, -73.95933500694659 40.80477276319667, -73.95933484380835 40.804772103974166, -73.95933475177986 40.804771436672276, -73.9593303267828 40.804765472009635, -73.95932583658956 40.804759536139855, -73.95932128119965 40.80475362996331, -73.95931666061304 40.80474775348001, -73.95931197601428 40.80474190759087, -73.95930722621885 40.80473609139503, -73.95930241241079 40.80473030669377, -73.95929753459059 40.8047245525867, -73.95929259275721 40.80471883087477, -73.9592875892813 40.80471314065825, -73.95928252179168 40.804707483737396, -73.95927739265905 40.80470185921245, -73.95927220188285 40.804696267984, -73.95926694946252 40.80469071095243, -73.95926163421362 40.80468518721687, -73.95925625969016 40.80467969857953, -73.95925082352267 40.804674244139136, -73.95924532808013 40.80466882569744, -73.95923977336258 40.80466344325445, -73.9592341581855 40.8046580959093, -73.95922848491793 40.80465278546373, -73.9592227523748 40.80464751191735, -73.95921696174116 40.804642275270595, -73.95920846040403 40.804635812085785, -73.95919990452803 40.804629393005506, -73.95919129529926 40.80462301622911, -73.95918263153156 40.80461668355719, -73.95917391559566 40.804610394090055, -73.95916514630538 40.80460414962828, -73.95915632484628 40.80459794927182, -73.95914745240353 40.80459179302098, -73.95913852779084 40.80458568267644, -73.9591295510094 40.804579616437096, -73.95912052442823 40.804573596104845, -73.95911144686217 40.804567621679226, -73.95910232068097 40.80456169406158, -73.95909314351543 40.80455581145001, -73.95908391773409 40.804549976546916, -73.95907464333807 40.80454418755122, -73.95906276633815 40.8045367650266, -73.95905094032564 40.80452929929491, -73.95903916411491 40.8045217912563, -73.95902744007678 40.804514240011045))",04/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM
Q,Completely Locked,07/06/2020 02:13:44 PM,Q021,Cunningham Park Dog Run,Q021-ZN01,Q-08,Cunningham Park,,Reopened,Cunningham Park Zone 1,Q021-DOGAREA0007,,"POLYGON ((-73.77558320973888 40.7264871457086, -73.77564759599956 40.72646623072076, -73.77576945083251 40.726720633058015, -73.77546829252624 40.72682644796779, -73.77543035953856 40.7267618856366, -73.77552098648296 40.72673106943803, -73.77544796645316 40.726606783392825, -73.77536732252099 40.72663420516992, -73.77533125636887 40.72657281894927, -73.77558320973888 40.7264871457086))",04/09/2020 02:15:13 PM,07/06/2020 02:00:00 PM
